Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability,Electricity Prices,Energy Subsidies
India,2010,Wind,91946.6149,46526.03502,2979264243,819890449,1.24421E+14,883549.121,72708.25005,96055.22676,437529.79,103788,1,2317398454,1,27.4427752,2333.324781,299.5108871,3.671189209,6.146241273,49.03585142,0.280651939,318818332.8
Canada,2014,Geothermal,80750.68344,39027.34455,9925332815,116459754,2.84714E+13,350075.8843,70974.1711,61243.21811,374325.0996,824313,1,5275322699,0,36.21342177,860.5226541,212.5436199,9.17018196,54.97492328,57.28778535,0.08841774,84658641.95
Canada,2013,Biomass,98397.81492,16191.48609,1783535398,1205275849,1.96439E+14,7977.214013,2176.657191,46554.80474,111308.6535,970573,1,8352957170,1,10.91205109,2074.36968,173.9013505,4.879056068,18.39068204,52.33051765,0.465464873,887200615.1
Canada,2007,Solar,20322.54444,10828.34122,4639469254,1040200869,1.5136E+14,988690.2203,17157.93101,10527.26566,112176.2579,230374,1,6688485693,1,27.23212204,2847.237004,243.5188433,4.453305486,6.235081896,0.817792587,0.177239642,63101031.32
Russia,2013,Solar,7323.636888,5827.461109,1731276894,255134878,1.68115E+14,295626.6886,64711.21279,19780.11825,215858.4587,855186,0,2937554592,1,8.2624761,117.1558289,280.2931218,2.654530533,64.94450479,69.38685507,0.157759431,838498024.3
India,2004,Wind,6542.685311,28501.2871,9180527158,531406015,6.87187E+13,278368.4634,20948.17896,75842.92072,758468.8909,454865,1,3785552394,0,-6.36897454,2078.035399,182.6487829,12.47575362,63.32948649,20.53801902,0.126311903,279580704.9
Germany,2019,Geothermal,17502.1398,26502.99425,408490766.7,189017849,2.74606E+13,32557.91541,10745.38388,16792.26197,170377.0514,258425,0,3128713345,1,17.10688691,2670.28988,202.0091812,13.29422068,35.71027062,96.65212472,0.365760264,598376589
Japan,2023,Hydro,14777.08888,28986.54224,1316801465,898948417,1.12776E+14,240448.872,54523.65521,35630.66204,991128.8351,599552,0,3940056953,1,6.013800952,2052.467233,221.8286339,3.450994392,50.11860133,64.39067133,0.068965045,596615351.3
France,2019,Solar,28474.75934,24303.2309,21020901.66,620172080,2.02132E+13,495218.3525,25933.88969,19803.59162,547101.9222,991941,1,9452069833,0,13.78841759,729.4356834,296.3708737,10.19779149,44.23059607,60.4472497,0.445734642,736504659.9
Germany,2002,Wind,3515.84855,26439.04324,5976202997,1141999257,1.853E+14,643774.8059,11828.47822,48644.04347,328861.0607,556509,0,7240117661,0,5.834415069,128.6396291,226.4767285,2.080925797,88.35281126,53.07132116,0.454618828,173377487.7
France,2008,Biomass,1072.712469,7822.081651,8371581377,934790960,1.65524E+14,931958.5181,61877.45137,87793.37707,676454.4529,921555,0,967285075,1,8.619295371,2825.866892,255.7931547,8.909255189,48.02910937,41.17856726,0.476500046,477969782.7
France,2014,Solar,43969.67653,15713.42056,6996068074,197990713,6.58207E+13,671660.5537,55431.61701,64905.94353,114813.2005,587650,0,649375733.8,0,9.650138177,2153.136916,209.692585,11.4706732,64.61539605,22.99341402,0.205652046,696033896.1
Brazil,2010,Solar,39491.78696,14223.86095,1472171372,636023248,9.00402E+12,290910.8883,94385.89588,45123.84516,369447.5625,884874,1,9703166646,0,33.18611329,1648.335502,243.3028318,7.124636371,82.89625581,72.3037174,0.442199431,489794414.7
Germany,2007,Wind,35102.80525,17363.98591,5124903676,810530992,1.17271E+14,445969.3023,50496.65967,24314.12432,965260.3146,896954,0,1364767503,0,26.76849879,349.1566841,256.6387011,6.997993179,48.36598429,90.633345,0.491614258,638573381.3
India,2021,Wind,75015.10933,21087.56372,4916894562,613191835,5.70951E+13,85751.93627,56360.57032,80690.39385,256029.4746,851675,0,7183075262,1,33.88781372,2380.923597,174.8892287,5.628846559,92.59861204,32.03293021,0.194231517,416123157.1
USA,2005,Wind,55487.02241,13187.61668,4972807916,710170825,1.16072E+14,985035.7101,48007.2752,40046.29202,684123.8411,521931,0,6633565665,0,-6.598321095,2959.595135,148.3719652,4.897013504,23.79684518,46.94724998,0.323247071,808790814.4
France,2010,Geothermal,62387.57055,21564.61795,7535222387,1337802427,7.25716E+12,67563.88538,32121.44838,94099.33553,217082.0336,529241,0,4171877998,1,3.544050212,1367.179629,223.5730415,10.9665016,44.53510641,10.99862733,0.41285671,652865572
Russia,2020,Hydro,54157.62707,412.7012683,6394575201,188910945,1.15366E+14,140334.6542,44736.9621,11785.07281,912903.2484,220529,1,1880145938,1,-9.348936222,1919.229456,156.6583523,1.321115921,63.30020629,77.08179972,0.461544953,287836553.6
Russia,2010,Biomass,3204.979523,24196.75158,5061422754,1075716108,9.45498E+13,723871.3862,71006.09732,61336.41603,932965.6165,303989,1,5594875354,0,24.4391898,1664.151688,177.384314,7.692859033,78.98410591,31.42188622,0.212530616,300312691.5
Japan,2022,Hydro,47146.18836,29106.28817,8045717983,762402801,1.45906E+14,894909.7572,33238.82476,93759.14157,19800.921,567964,0,2457893039,1,31.06919677,1436.48136,154.4006017,5.51697498,56.5484475,86.3680961,0.150579533,600601285.6
France,2001,Geothermal,84294.04136,26925.03355,3776283774,183874120,1.85504E+14,369685.2647,53604.99674,99899.96823,29061.62662,249779,1,7352989415,0,6.954458924,1044.569,106.6949044,3.130344168,9.545177716,68.82829174,0.181471845,466460158.8
Germany,2003,Solar,73627.87666,41479.83227,1217189974,842131261,5.20523E+13,15915.9018,69698.5373,72685.70196,366829.6133,268866,0,1656156783,0,17.09029843,1927.178219,198.405848,1.350190354,85.68868636,28.39926944,0.387423697,228545553.8
Germany,2017,Biomass,55637.02061,28651.92192,4673581581,481418144,1.25005E+14,638360.5637,53694.05884,41214.56368,794512.4153,956625,1,4667357140,1,9.943724667,1566.476813,147.7886664,2.048996397,33.49831997,22.43540096,0.205556005,586907015.7
USA,2006,Hydro,21195.90664,34520.49061,9333387383,51710882,2.80263E+13,82210.08254,49193.29124,98780.53386,379652.2445,615749,1,8068504122,1,4.517432674,408.7457781,130.8838425,6.629392977,89.85033344,88.0054933,0.061283448,617626048.7
Australia,2009,Solar,40218.0112,42993.53095,338009756.2,282116949,7.42323E+13,267479.7139,5273.546284,80333.19339,695121.1327,526963,1,7787833307,0,1.425296408,1881.088212,248.009639,10.35027607,54.49059969,77.92932257,0.26676294,339235729.2
France,2005,Geothermal,86174.00682,40042.60571,3765310092,1002285207,1.8671E+14,36342.77955,87027.49847,52170.94662,492200.9671,679953,0,3776464300,1,15.74065535,1912.259106,171.6185463,4.833348415,88.8858324,82.14962501,0.30135969,807167227.2
Russia,2009,Wind,19652.01854,4580.207604,5799602397,1480116352,2.2524E+13,473519.2944,78195.74443,17116.25953,345594.6836,618069,1,4447970127,0,3.019921513,1862.977973,241.2230476,9.432825817,94.79449434,87.97507573,0.277706436,369568788.5
Brazil,2017,Geothermal,13680.98799,1494.780339,8076873411,1097252814,7.97747E+13,669437.3586,36364.14449,45999.26659,353261.7897,479946,0,4209210356,1,23.67621838,573.9095075,174.1709355,4.723621948,96.61449256,61.57076611,0.332294098,932678262.7
Russia,2002,Solar,92232.75986,13825.92306,483774920.4,956822416,1.60151E+14,557054.7409,69162.79561,41953.2833,644875.8226,172535,1,3918144915,0,-1.527769434,1207.778399,238.4515842,13.64232154,16.10780907,50.28989859,0.40630771,989546831.4
Brazil,2007,Geothermal,75518.88579,44242.36803,8424385584,850214259,5.66329E+12,568401.3363,58686.19702,29716.37476,561938.1894,921467,0,2506848372,0,-7.15565013,330.2516484,230.1026521,13.60809401,44.12814394,20.7487195,0.360433222,472896476
Japan,2022,Biomass,63005.16927,25563.84136,9104672097,1347133105,5.24136E+13,871439.1168,33247.80102,28057.13859,273959.5205,117482,1,2747755125,1,-2.590770949,1893.611548,137.3481241,13.68567842,83.40737814,60.69602523,0.204949008,38851796.18
Japan,2007,Geothermal,52535.54393,821.3431093,147464154.7,645225740,9.51754E+13,95573.25547,85730.33889,90780.32415,325673.5629,161858,1,897037764.8,0,0.589133355,1858.843732,102.8337684,11.11533712,0.186067615,67.00897132,0.17296539,272960070.4
Germany,2022,Biomass,3639.198578,10897.74662,1399573623,305996686,8.0905E+13,280783.7694,12943.43762,41514.65137,254640.8688,542398,0,175515297.3,1,-2.940840784,829.1779131,204.4162093,11.7535364,60.14832023,69.19433693,0.067886938,662931186.5
France,2021,Solar,15874.36879,37065.21953,9695986803,141868711,2.99202E+13,362843.4634,21913.43086,52043.30395,495040.017,49980,0,3004301657,1,2.242899358,182.0224962,117.8305769,11.70098767,77.90546725,55.43266508,0.201264934,336020933.7
Brazil,2012,Wind,49778.1638,15586.83865,1196236036,11950560,8.27477E+13,156485.6102,67770.20169,6608.348054,993987.8141,947071,0,8325133467,1,6.10254022,2976.198248,262.056683,3.584114152,94.32451677,2.113794544,0.068101706,389884079.2
France,2018,Hydro,25983.44224,35714.77882,2627041960,980235263,1.4614E+14,745572.783,30133.02101,8963.667534,891317.2293,352081,0,2419416252,1,14.43229146,1827.684154,262.5235843,13.96557936,84.6195457,73.52916934,0.40726021,548643675.1
USA,2014,Wind,10964.76879,18139.55912,1066270663,1292204876,1.84675E+13,267626.7807,64471.76074,61961.86094,988439.4753,104091,1,8760259243,1,15.73414151,361.1325401,257.0263786,4.537370543,8.619588658,10.37456483,0.265601067,247514639.4
Russia,2009,Wind,39181.96382,12590.36658,4905855152,1469192168,1.5627E+14,57761.60173,39731.68492,19596.55911,433430.6478,363396,1,5080603219,1,29.25409452,1300.394141,151.8440255,8.209483319,16.86530983,74.7630886,0.465980153,155894511.6
France,2003,Biomass,99181.00136,14391.28585,1322930048,846176320,1.68318E+14,36329.8235,13960.78105,77046.05922,313250.7528,448306,0,2968195298,0,32.09421898,2151.005182,256.2241574,3.160002847,88.64797954,7.967033788,0.160670715,913126425.5
Australia,2011,Hydro,73276.90216,4324.06064,1638287454,284768221,1.29303E+14,972971.5008,64497.42487,58469.17276,867504.0121,312699,0,6450131747,0,13.08705405,2072.762436,206.5550855,10.13742673,11.45212834,96.04427889,0.071204512,979100677.4
Australia,2014,Hydro,11187.96725,34968.16407,1187775824,440312197,7.9571E+13,347820.3327,68342.46573,46598.71756,754759.8665,690794,1,2789138032,1,-9.81932051,1697.661294,108.0954925,7.379262495,16.21819421,19.9613213,0.41835071,853301423.7
USA,2016,Hydro,71690.955,45631.25892,6479176301,643635950,6.84891E+12,564800.0754,55904.69216,79899.07189,310901.4298,450978,1,5102718043,1,35.47558042,2135.309386,135.1156748,6.027880206,38.33025841,22.9226997,0.18550481,698170207.9
India,2015,Wind,86555.55192,19311.89041,9208688756,1280046658,3.93269E+13,254296.0904,60371.75125,91750.2756,340001.6627,958575,1,5882827965,0,14.75503164,1695.622872,206.8838071,11.09121264,58.90252812,0.375547184,0.326665967,16463762.95
France,2004,Hydro,80487.30194,33914.56971,9160522707,311500435,8.35817E+13,268929.877,20612.26956,33487.34396,28332.65576,991790,0,3312544436,0,-9.725976005,1411.557623,288.6457991,1.796938045,34.51188493,67.51067885,0.310688084,722341914.8
Australia,2020,Biomass,64826.37821,46372.79941,413571722.8,1385620520,1.7597E+14,130053.6332,1321.454431,57173.51782,978615.5018,742292,1,3396095480,0,8.442044596,2443.990417,166.9421434,0.969724572,29.30203286,92.19139116,0.468414513,200858390.7
China,2007,Biomass,63615.01976,6212.681246,5418016851,692277040,1.96724E+14,139758.7574,90131.43324,32840.76648,422558.2146,834135,1,7306588278,1,-8.987965694,2890.632177,247.6897364,2.920159848,4.575296377,28.79060899,0.050983091,4882404.972
France,2022,Geothermal,99171.15372,16288.04176,5602457175,1143305886,7.35025E+13,205209.3876,90858.40801,94133.26169,736994.0864,735536,1,5878470926,1,-2.020139708,1916.719383,269.9345978,11.59508301,84.26516658,47.84718257,0.144797363,338528508.1
Germany,2009,Hydro,92906.9786,41626.23335,3400169256,1368116962,8.4889E+13,840740.1419,94688.97107,21272.52796,737838.7304,673544,0,8651024586,1,2.542406832,2654.434928,221.2633415,1.816120226,49.54865286,17.46543052,0.497465276,858340638.6
India,2013,Hydro,5966.455418,5377.633338,1191721855,577736923,1.84836E+14,336166.3224,99652.6511,36802.78068,270049.5048,313190,0,8852917499,1,2.639816898,2871.204322,156.4936696,12.87359731,27.53865495,20.4958283,0.155942229,446960261.6
Russia,2012,Biomass,1789.222324,22375.50502,3756252043,1117734468,8.18677E+13,378391.4143,94322.16801,24006.29889,718195.1362,705459,0,882971023.4,0,31.34443224,2231.331526,133.6094163,7.848683363,1.713765159,23.44238863,0.399871415,544148455.5
Germany,2009,Wind,83761.87845,1229.637304,365455333,243157026,7.16455E+13,685141.8077,53110.8207,52593.75123,511305.3695,836389,1,2973750581,1,22.15616561,2115.955899,171.8183641,4.236263042,46.49024234,54.51315504,0.173472943,593532945
Brazil,2001,Wind,56404.93003,19590.35743,6949496693,388558675,9.53915E+12,669759.05,81420.97208,36201.78164,538398.6662,185446,0,1788963316,0,8.9278452,2993.392865,258.1643595,7.772396378,74.18014028,45.07276792,0.059596093,491602047.2
India,2017,Hydro,55128.58767,45709.32954,2920578934,815669253,1.1607E+14,485639.4091,97410.35925,92756.90965,19266.65484,511557,0,3137837804,1,4.13974046,436.7857873,180.8626868,9.588822174,38.51240456,1.524097095,0.314250731,269389303.2
India,2008,Solar,86177.44392,34735.34403,3874827344,1283302318,8.77586E+13,448254.1167,25472.08364,79224.69024,564623.8956,565655,0,8369998455,1,33.38053832,693.8538598,268.787191,7.273588295,99.21987667,6.334502924,0.106878351,651486778.1
Canada,2014,Biomass,6453.090665,16913.69224,7292534733,193006091,1.78694E+14,699292.6607,25856.8861,81679.3559,870283.0989,939417,0,4206539516,0,6.717122576,2495.266423,181.1636233,0.96097274,71.75988869,5.333000489,0.153858122,502274565.6
Russia,2018,Geothermal,49227.71418,22628.28495,6759448263,342819247,1.63245E+14,425957.0924,33286.00092,24952.07742,546289.0107,229468,1,3538737826,1,3.064202958,2502.943478,211.2183186,3.525993129,44.74097794,73.35963028,0.421710648,903902031.8
Russia,2021,Biomass,65570.88821,18841.21388,9373341207,397955173,7.64036E+13,933084.3844,29461.92814,82144.65961,708720.8538,663103,1,3427897524,1,8.106566909,1066.377666,118.8521599,12.20611266,50.45982888,41.99809048,0.062910571,632332093.1
China,2001,Wind,20257.89844,25029.88875,3698334280,757105006,9.89944E+13,117603.425,33435.39632,67617.43495,407025.309,635109,0,3445761395,0,32.7956921,1551.658857,246.6947077,4.714363761,81.66154076,65.64976495,0.211874711,171675987.3
Canada,2002,Geothermal,96663.09315,28077.80322,494425759.4,21900328,1.1791E+14,143007.3594,39288.27013,11362.93568,518965.6068,826255,0,4967004248,1,32.39496196,1718.096096,241.3471014,1.327302308,47.42570244,30.82950267,0.161396347,540913764.5
France,2023,Geothermal,72358.09527,18049.02409,7751321376,350404495,6.22904E+11,616900.1787,64122.29922,63675.20279,462873.8013,602539,1,7603314988,0,-7.707311387,626.9017135,112.9112851,14.39104795,89.2981874,82.57606795,0.116402953,244468887.8
India,2012,Wind,25423.05409,46536.88902,2005033694,1014131977,1.91261E+14,389885.0629,30164.66492,49985.04315,355591.8404,42127,0,8272358356,1,1.696542337,1158.565088,227.0853532,5.773593747,14.12182572,48.8841016,0.175020534,507428720.8
Canada,2001,Geothermal,51201.05681,882.9663127,7204146023,1300976836,3.98643E+13,99466.53123,61138.45104,28658.75954,624846.6037,625790,1,7208463837,1,18.37320039,2089.74498,129.5075645,12.60857796,67.62951639,61.37162213,0.313688132,562292167.8
India,2001,Biomass,19781.79868,43246.77955,3276653341,21493495,1.47563E+13,287668.829,76584.61203,84545.15231,104238.2625,138014,1,5232972417,1,32.59232704,2988.393527,270.7940661,0.474456331,32.81255066,60.07208409,0.177280408,404687474.5
Brazil,2006,Geothermal,93695.63906,48813.41957,4512530779,1047607305,1.31054E+14,482295.7749,33049.07293,65772.71137,565741.5438,407162,1,6078619988,1,33.1087914,1072.769568,251.1214328,2.100991891,43.64808421,9.016718791,0.392071807,682272821
Russia,2018,Geothermal,44800.79343,6223.278307,8207235171,1268070421,4.58672E+13,918905.6573,41613.10643,7198.873192,808379.951,874544,0,3247241438,0,24.07440656,1239.127388,199.0869842,0.842683924,53.15140542,59.21880217,0.230576184,177172733.4
Brazil,2023,Hydro,90384.32863,31847.37115,1682133513,1030303945,1.35893E+14,759581.9693,55846.11813,52750.61312,346001.9614,349738,0,2535642507,1,-1.609211369,658.0390855,119.9459366,13.57711392,0.673819529,77.84970351,0.33694406,126334102.6
Canada,2018,Hydro,98141.44098,34543.01183,2525496222,303202701,1.62956E+13,155673.3968,37635.97245,55949.55869,720769.6153,391958,1,4902626712,0,34.21094254,2838.31521,112.9389425,10.8066512,30.80144164,82.52802278,0.157045949,27046983.29
Germany,2003,Hydro,48707.46612,31814.44537,2208248586,534644098,1.48683E+14,784278.7443,4572.436511,5377.254424,918144.2216,162155,1,5595426526,1,-9.010554133,1372.532706,290.3240446,12.54821761,91.63056793,43.03612715,0.205707472,982436723.8
Russia,2018,Solar,41942.55382,18067.84905,9043695635,18863432,1.32602E+14,804430.031,52089.69379,74409.80735,675045.0852,558120,1,4786743617,0,13.38213239,1303.519917,122.613893,3.144718807,66.13198684,70.10567144,0.327543518,962272556.5
France,2017,Wind,30824.64531,36298.52445,864455661,45731644,1.11727E+14,11155.13993,91085.41036,39459.47122,952651.2886,832722,1,5141007991,1,22.47889732,2977.176393,298.6822464,8.392098349,80.61607511,46.96355658,0.197897003,36525657.11
Russia,2002,Hydro,33626.28786,31803.72882,1124989723,1285033538,2.50705E+12,899164.506,16582.46138,17069.05348,352790.0569,340866,0,4725558182,0,1.510097644,809.7580815,220.6605762,1.79354681,78.0568043,88.63244627,0.273765467,653414154.2
India,2014,Solar,56260.07886,38771.77936,474499071.9,685826997,1.38893E+13,319201.5422,47576.19155,20247.97339,361081.3546,231336,1,5918476568,0,19.5648801,1492.613834,126.3932855,3.201425773,65.72014772,97.51412317,0.21720086,498843623
Russia,2022,Hydro,22346.74069,20191.54537,3594189604,272065728,7.26839E+13,836768.3838,86883.62896,8581.454455,318570.5149,546387,0,3804643408,0,17.63678691,2627.071114,119.7133606,4.404460161,1.828549555,56.53177211,0.375544116,408785320.4
China,2010,Biomass,51839.94504,39136.90817,787814441.1,123514566,1.06182E+14,134508.1719,84861.81207,95857.77433,402397.7686,290765,1,8947543337,0,10.16313073,2502.055774,228.8772084,9.834805422,78.79068384,10.69954546,0.282874707,480905898.2
India,2010,Wind,3782.82038,29537.89877,5974605172,1211640055,1.02604E+14,471998.2127,24110.87266,6237.925803,679418.0611,808491,0,8364928750,0,33.66054519,2580.298871,242.5536477,9.500482882,95.35986964,90.87234351,0.119602607,872309938.6
USA,2020,Biomass,2016.88256,1409.725298,8121393330,196283776,8.06888E+13,575817.5454,73126.76028,51586.21932,593925.9781,6378,1,1241189008,1,3.438191403,486.2932997,168.7441176,3.577518199,67.03229234,69.04068007,0.237070816,714156374.2
USA,2022,Solar,33851.8503,27673.25846,9513058418,7940294,1.76764E+14,763942.8953,49028.20409,85068.63566,48682.1428,56376,0,4661780478,1,31.51964983,1907.487373,242.6259855,11.14099909,3.561842551,87.50847252,0.491895872,995103700.5
Germany,2014,Biomass,71993.88311,47369.63606,4348122244,1158139184,1.29031E+14,151237.7619,25199.05322,65758.58258,572874.706,444051,0,3238816764,1,2.804930061,753.1262686,243.9783242,14.53917718,78.83165625,42.30840661,0.104619184,815206401.7
Germany,2005,Wind,70365.86648,25576.88028,9909486907,1357348361,1.4515E+13,95086.43911,88757.49895,45076.28158,319883.8513,296342,0,80352303.91,0,0.978356582,2525.189787,120.0767506,9.477401964,77.93017161,86.55221577,0.468796801,656347915.7
India,2001,Wind,78480.83702,6736.179996,155699341.3,1150645705,1.81421E+14,62290.90645,60042.6314,96629.51455,26585.68461,602062,1,347132971.1,0,17.54482391,535.2836188,294.9690747,12.31637463,61.94645607,97.06651216,0.25047559,35367282.09
Brazil,2002,Wind,7848.323007,35570.68503,9938619520,905031936,2.1873E+13,59701.93895,92330.00433,13766.1821,196744.2416,958210,0,691345090.8,0,4.423147093,971.4599765,289.3290954,13.91216276,25.17618137,16.72315499,0.081525338,597624247.8
Brazil,2003,Geothermal,53770.4479,34773.45226,2510469128,585325750,1.95506E+14,269717.7679,45639.80285,1472.562528,408105.2752,895867,1,5844092121,0,38.59982569,2020.701521,204.969154,8.348532443,68.17367384,77.99029668,0.358990164,224140843.1
Australia,2012,Geothermal,40707.45577,39746.34776,4490880772,395287916,1.79372E+14,571408.9294,45947.57957,26371.15343,765061.0915,870560,0,8965138484,0,-1.257368223,236.0640679,144.8033433,13.11073115,41.54369057,39.19208084,0.488269423,756524463.1
Germany,2015,Solar,29167.69368,35187.0553,8801013401,1374881359,1.83343E+14,752809.653,97932.87192,37396.0893,77329.75566,627016,1,268453111.2,0,25.06155721,1316.364931,201.9046538,8.627470758,42.76315606,77.18408792,0.404247521,5221885.607
Australia,2004,Geothermal,60887.52095,9321.264345,8882535249,1067625419,1.794E+14,537620.5458,8610.078689,65133.05907,832590.9913,754042,1,4710225825,0,31.24871429,1714.412328,271.2192241,2.180102441,45.64271387,74.90652507,0.136681793,571370976.4
Germany,2008,Geothermal,16797.94393,4223.489479,6192629464,1438454077,6.56423E+13,26658.94212,94481.07473,42584.6942,654951.2512,417976,1,3421143241,0,33.35371477,2772.07382,112.7058828,11.06848386,17.55620046,49.27277024,0.172763002,41121557.43
Germany,2009,Solar,5329.14338,35151.61625,4036431009,891971462,1.25258E+14,627147.2772,43406.17581,36364.64936,935166.3745,40955,1,9877745837,0,-1.474771761,481.0631134,159.3544273,3.902742705,37.98633524,6.656573747,0.163982781,880863273.9
France,2000,Wind,41553.63621,37031.07767,4944095097,523515210,1.31298E+14,416156.4139,95883.93487,84341.37722,549105.3615,937281,1,5156596035,1,-7.752696717,2740.284381,268.4515533,9.901920786,35.1054618,79.23281132,0.206366162,25690967.11
Japan,2023,Solar,31038.78506,41579.35305,6497451422,334109135,1.71033E+14,782740.2618,12170.06626,94369.75042,548137.6209,780614,1,7889794115,0,18.98218432,698.6569496,241.3039419,3.650202194,55.90921524,20.13547553,0.227682169,668129343.6
France,2015,Hydro,60449.78571,19261.95341,5000630710,1414964086,1.66163E+14,845112.6862,23048.58891,35249.91336,671418.2446,990592,0,9678845403,0,24.53375663,430.3237457,265.7731244,3.231721795,19.09077002,68.09658923,0.412425719,755854108.9
Brazil,2021,Geothermal,76496.97591,25607.25544,6551275133,639283602,2.01747E+13,644945.2632,26334.13902,12411.75345,251025.3151,347941,1,1538547194,1,35.47575673,132.1496623,248.1149965,11.82725018,99.00654958,82.57706547,0.491793894,769598116.7
China,2017,Wind,23202.87141,39789.50271,4221217089,190249038,1.85837E+13,110779.8873,95941.83822,43014.22244,70837.98305,796805,1,8793447165,0,21.31399518,680.2882045,180.6344655,4.638621752,2.861097572,57.931341,0.209127369,739404620.3
France,2021,Hydro,24540.24668,41163.7892,9652646897,1262005657,7.04065E+13,870539.1621,22462.97266,16967.39363,778405.1164,577633,1,5194500780,1,36.55385046,2656.965028,166.5418223,2.211923185,26.00936485,57.89392556,0.256090035,973406936.6
